name,kategorie,lat,lng,beschreibung,link
in der Rothwiesen,Indizort,47.8684326,13.3510858,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Arme-Seelen-Taferl,Kleindenkmäler,47.872124,13.33267,"Erinnert an die Hinrichtung des damaligen Eigentümers des Handlbauerngutes, er wurde am 18. 12. 1662 am Marktplatz in Mondsee geköpft",https://www.ortedesglaubens.at/mondsee/orte-des-glaubens/oesterreich-poi/detail/430022048/arme-seelen-taferl.html
Kronsteiner,Indizort,47.878619,14.552277,Kranstein JL,https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1618513.3239363043%2C6085738.3515988765%2C1622955.0318768134%2C6087050.918693961&map-list=1&layers=163%2C165
Nachrichtergut,Indizort,47.882473,13.5231099,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Tissenbach,Abdecker,47.89025,13.968481,,
Wasenmeister Molln,Abdecker,47.89362,14.28244,Wasenmeisterhäusel in Rabach,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=93495
Schinderviertel,Flurnamen,47.89373,14.28148,,
Richtberg,Indizort,47.8949181,13.6942512,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Haus am Rohr in der Urtl,Indizort,47.89619615,13.76643273,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Kronberg,Indizort,47.900483,13.487536,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1499033.4037206925%2C6088570.598992148%2C1507916.8196017102%2C6091195.733182317&map-list=1&layers=163%2C165
Schinder,Indizort,47.90557508,14.30617037,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Gallenleiten,Flurnamen,47.90632,13.47173,,
Kronstein,Indizort,47.907491,14.455918,900m südlich des Hochgerichtsberg,
Galgen,Richtstätten,47.90872,13.77741,"hier befand sich bis ca. 1790 das Hochgericht (Gmundner Wochenblatt 6.2.1866, Seite 6)",https://anno.onb.ac.at/cgi-content/anno?aid=gmw&datum=18660206&query=%22Tastelberg%22+%22Galgen%22&ref=anno-search&seite=6
Kronkogler,Indizort,47.911455,14.621073,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Kranapichl / Hacklberg,Indizort,47.91156,13.948296,vielleicht ein Hinweis auf das Hochgericht Scharnstein JL,https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1549256.6122486896%2C6090250.325137052%2C1558140.0281297073%2C6092875.45932722&map-list=1&layers=163%2C165
Hochgericht Scharnstein,Richtstätten,47.91544,13.963755,"Herrschaft Scharnstein, auf der freien Heide in Viechtwang innerhalb Mühldorf",
Hochgerichtsberg,Richtstätten,47.91544,14.45414,"auch Gerichtskogel oder Hackerschädl beim Hangenden Stein genannt, Herrschaft Losenstein",https://www.burglosenstein.at/index.php/herrschaft-losenstein.html
Hackerschädl,Flurnamen,47.917275,14.454013,am Hochgerichtsberg gelegen,
Radwiesensölde,Indizort,47.919889,13.9099367,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgen,Richtstätten,47.92104,14.10573,JL – Josephinische Landesaufnahme (1775–1777),https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1569229.967734147%2C6092749.2023560135%2C1573591.65566067%2C6094466.646835296&map-list=1&layers=163%2C165
Marterl,Kleindenkmäler,47.92104,14.104143,Marterl Galgenau,
Galgen Tastelberg,Richtstätten,47.921328,13.81532,am Stich von Merian 1649 ganz rechts in der Bildmitte der dreischläfrige Galgen,https://de.wikipedia.org/wiki/Wunderburg_(Gmunden)#/media/Datei:Gmunden_Traunsee-neu.jpg
Abdecker,Abdecker,47.92148,14.10318,JL – Josephinische Landesaufnahme (1775–1777),https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1569229.967734147%2C6092749.2023560135%2C1573591.65566067%2C6094466.646835296&map-list=1&layers=163%2C165
Scherghueb,Indizort,47.92166254,13.81718594,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Hochgericht Gmunden,Richtstätten,47.92537,13.79709,1465 erhielt Gmunden das bis dahin zum Landgericht Ort gehörige hohe Stadtgericht. Auch auf dem Stich von Merian (1656) gut zu sehen.,https://www.arcanum.com/hu/online-kiadvanyok/OsterreichischerStadtatlas-osterreichischer-stadteatlas-1/gmunden-1104/wachstumsphasenkarte-mit-legende-11F3/
Gut am Rehkogel,Indizort,47.9262873,13.9220803,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schörkenmühle,Indizort,47.9268763,14.6140135,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabersberg,Indizort,47.928738,13.84712,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Kronberg,Indizort,47.932939,13.725045,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Ansprachgatter Kammer-Schörfling,Kleindenkmäler,47.93403,13.60501,"Vor der Hinrichtung durfte der Delinquent der Bevölkerung eine ""Ansprach"" machen",https://www.geocaching.com/geocache/GC7JPZM
Schimplgupf,Indizort,47.93467073,13.69742372,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlgut,Indizort,47.93467805,14.16557011,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wasenmeister St. Georgen,Abdecker,47.935452,13.45886,Wasenmeisterhäusl,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=2436
Galgen Kammer-Schörfling,Richtstätten,47.936,13.60357,"letzte Hinrichtung 1837, Landgericht Kammer",https://www.geocaching.com/geocache/GC7JPZM
Ramesberg,Indizort,47.936272,14.363192,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker,Abdecker,47.9365,13.60806,Wasenmeisterhaus in der Schönn,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=7103
Schedelberg,Flurnamen,47.93652,14.10349,FL – Franziszeische Landesaufnahme (1809–1818),https://maps.arcanum.com/de/map/secondsurvey-austria/?bbox=1568069.0803670692%2C6095609.6192738805%2C1572430.7682935921%2C6097327.063753163&map-list=1&layers=6
Schädelberg,Flurnamen,47.93835706,14.3664077,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schimplgut,Indizort,47.94334093,13.71744917,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Oberschedlkogl,Indizort,47.9440053,14.1459666,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Unterschedlkogelgut,Indizort,47.94443284,14.14565485,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlsölden,Galgenhaus,47.94802526,14.1230675,,
Röth,Indizort,47.94821463,13.43246093,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schimpel,Indizort,47.9491917,13.8230554,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schwerdbergergut,Galgenhäuser,47.959901,13.696995,Schwerdbergergut in der Au,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=11270
Galgen,Richtstätten,47.96036,14.01686,"auf der freien Heide zu Pettenbach, genauer Standort noch unbekannt",
Todtau,Indizort,47.96193072,14.12735291,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabensteinermühle,Indizort,47.963006,13.744294,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schimplgangl,Indizort,47.96303075,13.72270137,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedelhaus,Indizort,47.96431962,14.25584407,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schustergütl in Rad,Indizort,47.9668033,13.97886729,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Röthbauer,Indizort,47.96756026,13.37327716,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Lederau,Abdecker,47.968946,13.97371,Abdeckerneuhäusl,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=84478
Gallngut,Galgenhäuser,47.969274,13.664049,Gallngut in der Stiglgrub,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=9808
Schedlhaus,Indizort,47.96945992,14.26158464,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlwirtshaus,Indizort,47.9697483,14.2658452,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schädlbach,Flurnamen,47.97333003,14.31044132,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlbachmühle,Indizort,47.97341384,14.31170931,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlberger,Indizort,47.97380595,14.30220384,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlleiten,Indizort,47.9743223,14.3034325,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schwertberg,Flurnamen,47.97455,13.670876,Schwerdtbergergut,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=10136
Wasenmeister Überländ,Abdecker,47.97761,14.245428,Stauffmayrgut oder Wasenmeister Überländ,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=91998
Gallnbrunn,Flurnamen,47.97892,13.51863,Gallabrunn,
Wasenhaus,Abdecker,47.98082,14.242117,,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=91910
Schedlgut,Indizort,47.9850958,14.33299931,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Gericht,Richtstätten,47.985102,13.45963,JL – Josephinische Landesaufnahme (1775–1777),https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1496753.621222727%2C6102807.888368215%2C1501115.30914925%2C6104525.332847498&map-list=1&layers=163%2C165
Gallaberg,Flurnamen,47.9893,13.60661,Galgenberg (Gallaberg) scheint erstmals in einer Urkunde auf,https://www.lenzing.ooe.gv.at/Leben_in_Lenzing/Gemeinde_Info/Gemeinde/Chronologie?utm_source=chatgpt.com
Raabner,Indizort,47.989922,14.183612,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Gallnbergergütl,Galgenhäuser,47.99014,13.61568,,
Kranaweter,Indizort,47.990629,14.298946,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabenmoosmühle,Indizort,47.990815,13.339238,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Raaberg,Indizort,47.993236,13.338588,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Urtlpointhaus,Indizort,47.99408039,13.53582201,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlhof,Indizort,47.9949543,14.29184689,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlberg,Indizort,47.99562006,14.27219799,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdeckerhaus,Abdecker,47.99573,13.45614,Haringhaus,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=2345
Galgen,Richtstätten,47.99734,12.87866,JL – Josephinische Landesaufnahme (1775–1777),https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1431399.2728880893%2C6104952.124164952%2C1435760.9608146122%2C6106669.568644235&map-list=1&layers=163%2C165
Abdecker,Abdecker,47.99746,13.73594,,
Tödtenwaitz,Indizort,47.9990468,13.93577488,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgen,Richtstätten,47.99939,13.591023,an der Reichsstraße,https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1511312.450665069%2C6105658.634222169%2C1515674.138591592%2C6107376.078701452&map-list=1&layers=163%2C165
Wasenmeister,Abdecker,47.999714,13.21632,Wasenstatt am Mitterberg,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=37938
Abdecker Puchheim,Abdecker,48.00058,13.701848,Wasenmeisterhaus im Mitterthal,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=11512
Galgen,Richtstätten,48.005364,13.55891,an der Reichsstraße,https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1507932.5008205827%2C6106222.357305774%2C1512294.1887471057%2C6107939.801785057&map-list=1&layers=163%2C165
Schedlberg,Indizort,48.00549114,14.18286715,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Köpfstätte Lengau,Richtstätten,48.006947,13.24406,"Köpfstadl, Köpfstadlpoint , FL, FK",https://maps.arcanum.com/de/map/europe-19century-secondsurvey/?bbox=1472103.3885291223%2C6107148.35548297%2C1476465.0764556453%2C6108865.799962253&map-list=1&layers=158%2C164
Kopfstättsäule Astätt,Richtstätten,48.008448,13.158557,"letzte erhaltene Köpfstattsäule Österreichs, letzte Hinrichtung 1762",http://www.gaudeamus-tanz.at/koepfstaette-in-astaett/
Scheibenfeld,Indizort,48.00941536,13.92387085,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlgut,Indizort,48.01100741,13.44470734,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedelgut,Indizort,48.01118572,14.29856536,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlhof,Indizort,48.0111933,14.2978634,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabensteinergut,Indizort,48.011882,13.753217,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rathgut,Indizort,48.0130127,14.32892689,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgen Vöcklabruck,Richtstätten,48.014391,13.66118,"Die Blutgerichtsbarkeit wurde Vöcklabruck 1392 durch Herzog Albrecht III. förmlich verliehen, JL",https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1519167.3374074239%2C6107863.70721934%2C1523529.0253339468%2C6109581.151698623&map-list=1&layers=163%2C165
Gerichtsberg-Kapelle,Kleindenkmäler,48.01698466,13.66274893,"zwischen 1850 - 1885 errichtet, in der Nähe des Gerichtsplatzes, sonst kein direkter Zusammenhang",https://www.ooegeschichte.at/forschung/kleindenkmal/282915
Galgenhölzl,Richtstätten,48.01764,13.21866,"Galgenhülzl FK, FL",https://maps.arcanum.com/de/map/secondsurvey-austria/?bbox=1469685.8592243171%2C6108812.770812798%2C1474047.54715084%2C6110530.215292081&map-list=1&layers=6
Galgenweide,Flurnamen,48.017768,14.23942,nicht weit von der Blasiuskirche stand der Galgen des Landesgerichts Hall.,https://www.meinbezirk.at/steyr-steyr-land/c-lokales/rote-kreuze-der-geschichte-auf-den-grund-gehen_a1946659
Rothaider,Indizort,48.01858057,14.15611503,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Saaß,Abdecker,48.018932,14.35164,,
Hochgericht Steyr,Richtstätten,48.01963,14.418501,Hochgerichtsstätte der Herrschaft Burg Steyr ,
Abdecker Timelkam,Abdecker,48.02177,13.60007,"Hofwaid, Abdeckerhaus",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=6657
Raad,Indizort,48.02301315,14.08409884,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgen Babenham,Richtstätten,48.026027,13.14839,JL – Josephinische Landesaufnahme (1775–1777),https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1462115.545017727%2C6110076.827692495%2C1466477.2329442499%2C6111794.272171778&map-list=1&layers=163%2C165
Schedlleitnerhäusl,Indizort,48.02959951,14.33518177,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Scheibelgut,Indizort,48.03304146,13.43447092,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Röth,Indizort,48.0331275,13.43707803,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Richtgrub,Indizort,48.03455491,14.02467884,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedlbergerhaus,Indizort,48.03475408,14.20859226,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Obereinwald,Abdecker,48.0384,13.63739,Abdeckerbehausung,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=8467
Kronberg,Indizort,48.038747,13.627173,am Raberg / Gronberg / Kronberg JL,https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1515454.8228764203%2C6112818.483392886%2C1519896.5308169294%2C6114131.05048797&map-list=1&layers=163%2C165
Wolfengut,Indizort,48.03936342,13.62717809,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Schedelbergerstraßergut,Indizort,48.03955,14.115568,Schedlberg – der Name könnte auf eine ehemalige Richtstätte hinweisen (vgl. Schädelstraße in Wels),https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=87644
Schedlberg,Indizort,48.04052,14.11265,Schedlberg – der Name könnte auf eine ehemalige Richtstätte hinweisen,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=87587
am Raberg,Indizort,48.041829,13.629163,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1513155.9767248235%2C6112146.287833625%2C1522039.3926058412%2C6114771.422023794&map-list=1&layers=163%2C165
Schedlhof,Indizort,48.04280102,13.90692649,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wolfganggut,Indizort,48.04282712,13.63435741,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Einwald,Abdecker,48.04303,13.636537,Abdeckerhäusl,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=8428
Strassergut bei Schedlberg,Indizort,48.04422,14.121718,Schedlberg – der Name könnte auf eine ehemalige Richtstätte hinweisen,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=87845
Schörgngut,Indizort,48.04471461,14.08277018,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Hochgericht Steyr 2,Richtstätten,48.04507,14.38966,JL – Josephinische Landesaufnahme (1775–1777),https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1600494.7524274494%2C6113062.675048532%2C1604856.4403539724%2C6114780.119527815&map-list=1&layers=163%2C165
Rad,Indizort,48.04686851,13.89198922,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker Ungenach,Abdecker,48.04693,13.639391,"Abdeckerhäusl, Haus in der Kuglstatt",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=8586
Schedlhub,Indizort,48.04968231,13.1477393,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rametsberg,Indizort,48.05043,13.652327,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Rabenwinkl,Indizort,48.051512,14.042704,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
In der Scheiben,Flurnamen,48.05164,14.148062," Der Flurname könnte auf eine Richtstätte hinweisen auf der „gerädert“ wurde, „Radscheiben“.",
Unterrath,Indizort,48.05399148,13.89652913,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Abdecker,Abdecker,48.05549,13.91005,Abdeckerhaus in der Au,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=82855
Wolfshütte,Indizort,48.05626424,13.68349567,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wolfing,Indizort,48.05728203,12.86508039,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Galgenberg Wimsbach,Richtstätten,48.05734,13.905665,"das Landgericht Wimsbach hatte die Blutgerichtsbarkeit inne, wovon der Galgenberg Zeugnis ablegt.",https://www.ooegeschichte.at/forschung/kleindenkmal/111373
Rabensteinergut,Indizort,48.057427,13.790717,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Bildstock am Galgenberg,Kleindenkmäler,48.05893309,13.90586479,ein aus zwei Säulenteilen zusammengesetzter Bildstock,https://www.ooegeschichte.at/forschung/kleindenkmal/111373
Schedlbergersölden,Indizort,48.06229,14.13871,Schedlbergersölden zu Grub,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=88811
Galgen,Richtstätten,48.062891,13.78611,"fiel im Jahre 1556 vermorscht zusammen, wieder aufgebaut (JL)",https://maps.arcanum.com/de/map/europe-18century-firstsurvey/?bbox=1533437.3824352073%2C6116151.5802559005%2C1537799.0703617302%2C6117869.024735183&map-list=1&layers=163%2C165
Rabensteinergütl,Indizort,48.06404,13.77375,"Ort mit topographischen oder toponymischen Hinweisen auf eine Richtstätte im näheren Umfeld, jedoch ohne urkundlichen Nachweis.",
Wasenmeistzer Fugging,Abdecker,48.065802,12.874323,"Wasenstatthäusl, FK",https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=31384
Abdecker Ibm,Abdecker,48.067061,12.95811,,
Wasenmeister Pitzenberg,Abdecker,48.06728,13.7341,Wasenmeisterhaus,https://doris.ooe.gv.at/themen/geschichte/hofnamenreport.aspx?hn_nr=13353
